Location name,Amount spent (HUF)
Baranya County,122123
Borsod-Abaúj-Zemplén County,145857
Budapest,916952
Bács-Kiskun County,120120
Békés County,81437
Csongrád County,144625
Fejér County,132991
Győr-Moson-Sopron County,128947
Hajdú-Bihar County,135859
Heves County,80008
Jász-Nagykun-Szolnok County,96856
Komárom-Esztergom County,80325
Nógrád County,45966
Pest County,313871
Somogy County,81100
Szabolcs-Szatmár-Bereg County,104835
Tolna County,55188
Unknown,≤100
Vas County,78987
Veszprém County,85445
Zala County,70394
