Location name,Amount spent (RON)
Alba County,273
Arad County,420
Argeș County,495
Bacău County,736
Bihor County,452
Bistrița-Năsăud County,211
Botoșani County,244
Brașov County,1209
Brăila County,189
Bucharest,1999
Buzău County,232
Caraș-Severin County,193
Cluj County,1589
Constanța County,549
Covasna County,172
Călărași County,126
Dolj County,559
Dâmbovița County,282
Galați County,466
Giurgiu County,102
Gorj County,290
Harghita County,359
Hunedoara County,305
Ialomița County,117
Iași County,1555
Ilfov County,237
Maramureș County,380
Mehedinți County,499
Mureș County,564
Neamț County,425
Olt County,186
Prahova County,561
Satu Mare County,252
Sibiu County,393
Suceava County,441
Sălaj County,212
Teleorman County,171
Timiș County,552
Tulcea County,114
Unknown,≤100
Vaslui County,206
Vrancea County,284
Vâlcea County,424
