Location name,Amount spent (PKR)
Azad Kashmir,3258
Balochistan,6890
Federally Administered Tribal Areas,959
Gilgit-Baltistan,1703
Islamabad Capital Territory,6343
Khyber Pakhtunkhwa,32903
Punjab,104197
Sindh,51436
Unknown,≤100
