Location name,Amount spent (PYG)
Alto Paraguay Department,17461
Alto Paraná Department,304446
Amambay Department,20928
Asunción,307655
Boquerón department,21649
Caaguazú Department,117137
Caazapá Department,11012
Canindeyú Department,17764
Central Department,1467446
Concepción Department (Paraguay),31505
Cordillera Department,49375
Guairá Department,27197
Itapúa Department,74910
Misiones Department,37221
Paraguarí Department,23995
Presidente Hayes Department,21223
San Pedro Department,24506
Unknown,≤100
Ñeembucú Department,80832
