Location name,Amount spent (IDR)
Aceh,645297
Bali,1884328
Bangka–Belitung Islands,301962
Banten,3247064
Bengkulu,556346
Central Java,7268883
Central Kalimantan,810293
Central Sulawesi,833338
East Java,7916651
East Kalimantan,1888512
East Nusa Tenggara,1279778
Gorontalo,461146
Jakarta,5747988
Jambi,647389
Lampung,1644141
Maluku,345148
North Kalimantan,184885
North Maluku,253905
North Sulawesi,1822563
North Sumatra,4946546
Papua (province),799268
Riau,2268304
Riau Islands Province,850232
South Kalimantan,826448
South Sulawesi,1788851
South Sumatra,2442201
Southeast Sulawesi,523007
Special Region of Yogyakarta,1326302
Unknown,3849
West Java,9142054
West Kalimantan,1763200
West Nusa Tenggara,1319512
West Papua,294011
West Sulawesi,234653
West Sumatra,994549
