Location name,Amount spent (USD)
Central Province,115
Eastern Province,118
North Central Province,≤100
North Western Province,≤100
Northern Province,146
Sabaragamuwa Province,≤100
Southern Province,≤100
Unknown,≤100
Uva Province,≤100
Western Province,250
