Location name,Amount spent (IDR)
Aceh,814414
Bali,1559555
Bangka–Belitung Islands,519299
Banten,1920949
Bengkulu,563882
Central Java,6843888
Central Kalimantan,736724
Central Sulawesi,773087
East Java,6835856
East Kalimantan,1370490
East Nusa Tenggara,1553663
Gorontalo,383441
Jakarta,3880405
Jambi,936345
Lampung,1404107
Maluku,368812
North Kalimantan,267779
North Maluku,356657
North Sulawesi,1447640
North Sumatra,3847836
Papua (province),490426
Riau,2244717
Riau Islands Province,821829
South Kalimantan,871183
South Sulawesi,2062643
South Sumatra,2071335
Southeast Sulawesi,635624
Special Region of Yogyakarta,895298
Unknown,10630
West Java,10011641
West Kalimantan,3858297
West Nusa Tenggara,1087160
West Papua,271511
West Sulawesi,358593
West Sumatra,1257861
