Location name,Amount spent (MXN)
Aguascalientes,6926
Baja California,23929
Baja California Sur,3490
Campeche,7047
Chiapas,15014
Chihuahua,15979
Coahuila de Zaragoza,104284
Colima,5671
Distrito Federal,87239
Durango,7276
Guanajuato,43514
Guerrero,10802
Hidalgo,10636
Jalisco,98451
Michoacán de Ocampo,21883
Morelos,26172
Nayarit,4082
Nuevo León,118344
Oaxaca,12252
Puebla,26611
Querétaro Arteaga,15484
Quintana Roo,26634
San Luis Potosi,18054
Sinaloa,8422
Sonora,16595
State of Mexico,228760
Tabasco,7076
Tamaulipas,20893
Tlaxcala,3240
Unknown,≤100
Veracruz,28895
Yucatán,21973
Zacatecas,3753
