Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
2010410822318073,Tvcnewsng,Tvcnewsng,25940,8
114394116637713,Hamborg Properties,These ads ran without a disclaimer,9909,2
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,8383,1
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,6231,1
297904423657616,The ICIR,The ICIR,5261,3
111353874017544,Mukhail Adetokunbo Abiru,Mukhail Adetokunbo Abiru,3256,1
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,2698,1
112015191108359,Inside Port Harcourt,Inside Port Harcourt,2576,6
660685641036325,Sandeco Group,Sandeco Group,1815,2
103532961871284,Marion Group,Ezerioha Vincent Uchenna,1729,3
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,1698,1
1566640256767644,AM Corporate Solutions Limited,Shuaibu Aliyu,1432,1
108265042291590,TVC News,These ads ran without a disclaimer,1395,1
118420731234931,Prince Adewale Egbedun,Ril Stories,1349,2
104576632565512,K-Move,K-Move,1324,2
100391171881746,Matrixliveng.com,Matrixliveng.com,1236,4
100202924924063,Page 36,Page 36,1217,8
107102504969214,Abu-ubaida Muhammad,Abu-ubaida Muhammad,930,1
106087644459808,Ladycubanatv,These ads ran without a disclaimer,797,1
1259858270808148,Abdullahi Adamu Misilli,Abdullahi Adamu Misilli,687,2
2223336001067965,Global Visat,These ads ran without a disclaimer,675,1
1076670159060003,Growth Media,These ads ran without a disclaimer,607,1
101174669207027,H.E Amb Dr. Johnny Metchie,H.E Amb Dr. Johnny Metchie,594,2
1509451939279618,Hon. Iduma Igariwey Enwo,Iduma Enwo Igariwey,558,1
109450211203581,A Senator For All,Azeez Olasunkanmi Lekan,551,1
2122833767942498,Kwara Central Senatorial District,Kwara Central Senatorial District,536,1
104679584528987,Flourish,Tolutope Olubanke Anne Temitopeoluwa,519,1
110338541289138,AHMED ALIYU Sokoto TV,AHMED ALIYU Sokoto TV,510,2
131189377574,MDPI,These ads ran without a disclaimer,510,2
347645615820,Relational Gospel,These ads ran without a disclaimer,465,1
102169824695398,Rero TV,Rero TV,381,1
105040160065727,"Mgbidi, Imo State",These ads ran without a disclaimer,367,1
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,338,2
257044301821870,Sen Barau Jibrin,Sen Barau Jibrin,251,1
108217010644446,Oku Ozieoghene Victory,Oku Ozieoghene Victory,244,3
102031866241012,Michael's Prime Home,These ads ran without a disclaimer,231,1
112349224687773,Kufre Ekpoh,Kufre Imo Ekpoh,217,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,173,3
101282089311461,Keicy Imago,Edward Emmanuel Bassey,150,1
112335465017220,Edeigba Philip,These ads ran without a disclaimer,144,1
122523510824672,White lodge society brotherhood temple Abuja,These ads ran without a disclaimer,118,2
103517236092697,Paul E. Oziegbe,These ads ran without a disclaimer,108,2
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,1
113876210367608,The Sisters Show,These ads ran without a disclaimer,≤100,1
124637420632294,Mallam zaaki,These ads ran without a disclaimer,≤100,1
103022034889393,Dr. Gentle Emelah,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
19549406249,Tata Consultancy Services,These ads ran without a disclaimer,≤100,1
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,1
360408823991223,Ĉina Radio Internacia,These ads ran without a disclaimer,≤100,1
109812868585761,Uche Walter,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,2
108691998818904,Fce-gl-025,These ads ran without a disclaimer,≤100,1
175519314009317,Emoji Editor,These ads ran without a disclaimer,≤100,2
100280859393198,Jinchuan Group,These ads ran without a disclaimer,≤100,1
100112796084881,Futbolete - Page 4,These ads ran without a disclaimer,≤100,1
106191587594901,Bowmasters,These ads ran without a disclaimer,≤100,1
103126739334492,Frankly Tec,These ads ran without a disclaimer,≤100,1
261930630540936,Books2Africa UK,These ads ran without a disclaimer,≤100,1
102359362865317,Rose Des Îles,These ads ran without a disclaimer,≤100,1
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100,1
118250031227922,YES - Youth Energy Summit,These ads ran without a disclaimer,≤100,1
112957186910938,Brain Games,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
135073411731685,BBBgamers LiveShow,These ads ran without a disclaimer,≤100,1
1515909005308067,"Discover Nanjing, China",These ads ran without a disclaimer,≤100,1
101901072636846,Sunny Or Stormy Days,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
