Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,123
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,107
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,117
La Libertad Region,138
Lambayeque Region,115
Lima Region,809
Loreto Region,173
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,320
Puno Region,≤100
San Martín Region,127
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
