Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
132755243459426,I love øko,Økologisk Landsforening,8196,24
65929129383,Røde Kors,Røde Kors,8103,44
26458152911,SOS Børnebyerne,SOS Børnebyerne,5258,27
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,4196,9
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,4131,21
63691965101,UNICEF Danmark,UNICEF Danmark,3960,41
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,3819,8
116269191760882,DSB,DSB,3423,6
12787473132,Berlingske,Berlingske,3232,21
59143726810,Psykiatrifonden,Psykiatrifonden,2991,5
72672361910,Børns Vilkår,Børns Vilkår,2954,14
55365680705,Greenpeace Danmark,Greenpeace Danmark,2936,45
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,2629,18
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,2517,21
101875098313543,Andel,Andel,1630,1
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,1265,1
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1263,53
144965885963,Oxfam Danmark,Oxfam Danmark,1258,13
250994288337708,Sex og Samfund,Sex og Samfund,1162,4
304554445813,Videncentret Bolius,Videncentret Bolius,1136,12
133707013355759,Danner,Danner,1087,1
126543540781090,Ældre Sagen,Ældre Sagen,1040,35
67571270393,Red Barnet,Red Barnet,1001,7
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,952,2
102154048301476,Lederstof.dk,Lederne,902,26
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,857,8
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,843,4
304554445813,Videncentret Bolius,Bolius,749,3
437410226312057,Københavns Kommune,Københavns Kommune,737,4
87468072466,Copenhagen Pride,Copenhagen Pride,692,1
867877683280051,Weekendavisen,Weekendavisen,645,16
41459763029,Socialdemokratiet,Socialdemokratiet,642,12
748887235210811,Obton Forvaltning A/S,Obton A/S,568,7
399210657232918,PlanBørnefonden,PlanBørnefonden,548,5
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,540,1
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,539,3
167891603415958,Lederne,Lederne,526,8
