Location name,Amount spent (USD)
Azuay Province,2584
Bolívar Province,301
Carchi Province,296
Cañar Province,668
Chimborazo Province,1171
Cotopaxi Province,718
El Oro Province,2991
Esmeraldas Province,1047
Galápagos Province,161
Guayas Province,8113
Imbabura Province,1117
Loja Province,967
Los Ríos Province,2083
Manabí Province,4570
Morona-Santiago Province,308
Napo Province,211
Orellana Province,322
Pastaza Province,436
Pichincha Province,5911
Santa Elena Province,846
Santo Domingo de los Tsáchilas Province,2205
Sucumbíos Province,526
Tungurahua Province,1214
Unknown,≤100
Zamora-Chinchipe Province,208
