Location name,Amount spent (IDR)
Aceh,3636393
Bali,2723245
Bangka–Belitung Islands,708246
Banten,4564862
Bengkulu,1330770
Central Java,15742691
Central Kalimantan,1165508
Central Sulawesi,1469819
East Java,12811595
East Kalimantan,3677164
East Nusa Tenggara,2846386
Gorontalo,1049529
Jakarta,18909102
Jambi,1486972
Lampung,6557806
Maluku,1960461
North Kalimantan,644599
North Maluku,685389
North Sulawesi,4026376
North Sumatra,6638421
Papua (province),1029084
Riau,2995838
Riau Islands Province,1517993
South Kalimantan,1493011
South Sulawesi,7449490
South Sumatra,6967211
Southeast Sulawesi,1197380
Special Region of Yogyakarta,1466403
Unknown,15753
West Java,20043790
West Kalimantan,2899810
West Nusa Tenggara,2060804
West Papua,620557
West Sulawesi,835732
West Sumatra,3937750
