Location name,Amount spent (EUR)
Alsace,852
Aquitaine,1172
Auvergne,369
Basse-Normandie,438
Bourgogne,468
Bretagne,1016
Centre,880
Champagne-Ardenne,406
Corse,134
Franche-Comté,326
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,829
Languedoc-Roussillon,1083
Limousin,217
Lorraine,1008
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,965
New Caledonia,≤100
Nord-Pas-de-Calais,1642
Pays de la Loire,1343
Picardie,593
Poitou-Charentes,552
Provence-Alpes-Côte d'Azur,2006
Reunion Island,≤100
Rhône-Alpes,2055
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4090
