Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,492
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,180
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,3156
Paysandú Department,1047
Rivera Department,≤100
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,≤100
San José Department,≤100
Soriano Department,103
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
