Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1553639,53
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,1174000,98
108145258869282,Por amor a Salta,Por Amor a Salta,737763,32
113781658634572,Gustavo Sáenz,Gustavo Sáenz,495497,22
2000063456707351,Sole Balán,Dpto Creativo,377131,15
129799846687423,Levantémonos,Levantemonos,355774,115
101321286190410,Avancemos Salta,Avancemos Salta,268893,59
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,203075,9
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,199041,8
174876119204869,Martín Insaurralde,Frente de Todos Lomas,197855,4
359514447487972,Martín Arjol,Martín Arjol,162865,7
106057368882648,El caudillo online,El caudillo online,138366,1
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,133751,12
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,121530,59
112581315023501,Carlos Sadir,Frente Cambia Jujuy,108362,6
100686031576569,Primero la gente,These ads ran without a disclaimer,105803,2
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,99506,2
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,98440,70
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,85006,76
102931692772697,Defendamos Santa Fe,Defendamos Santa Fe,74143,6
142473639655550,Lucio Paz Posse,Lucio Paz Posse,71304,6
100964679318447,Gastón Caballero,Misiones por el Cambio,71121,3
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,70505,6
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,64077,40
409843162468188,Inés Brizuela y Doria,Inés Brizuela y Doria,62505,33
110079031997390,Con Larreta,Con Larreta,61533,70
141472172555994,Sole Martinez,Sole Martinez,60660,13
103088924366000,Noticias d,Noticias d,60202,174
424702354318618,Pedro Puerta,Pedro Puerta,58455,3
104856199182046,Gato Fernández,Gato Fernández,56650,2
61279025897,Gerardo Morales,Gobierno De Jujuy,55496,2
107862828349752,Tiempo de Córdoba,Tiempo de Córdoba,54722,8
100580902606304,Republicanos Tierra del Fuego,Republicanos Tierra del Fuego,53685,10
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,52855,18
106277608413948,Felipe Biella,Salta Independiente,52528,5
296099692189532,Martin Menem,Martin Menem,52061,14
114364621598017,Vamos San Juan,Vamos San Juan,50488,10
622853724492420,Federico Otermín,Frente de Todos Lomas,49725,1
2296112127071539,Feedback encuestas,Feedback Encuestas Online,48756,36
105933872199149,Mística,Mística,47470,4
138406616275954,Marcelo Orrego,Producción y Trabajo,46950,6
112200072188893,Eduardo Cáceres,Eduardo Cáceres,44804,7
116710934724411,Defendamos la Provincia,Defendamos la Provincia,44019,4
122876064052033,Liberales de Salta,La Comunidad,43436,5
924253577657013,Gobierno de Tierra del Fuego AIAS,Gobierno de Tierra del Fuego,43237,16
363825283650115,Vicente López,Vicente López,41995,6
104134822613702,Fabián Soria,Fabian Soria,41398,2
113962914977034,Somos FORJA,Somos Forja,39873,8
1027234010744067,Ruben Armando Rivarola,Ruben Armando Rivarola,39787,5
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,38464,7
121862207487348,La Ciudad Que Queremos,La ciudad que queremos,37041,8
189648461186976,Liliana Fellner,Liliana Fellner,35949,12
958750317533178,Manuela Castañeira,Nuevo MAS,35116,8
102858281496444,Argentinos hoy,Argentinos hoy,34926,5
289594974509402,Senado BA,Senado BA,34692,12
118736245504093,TOTI  Intendente,Toti Intendente,34573,22
101319202883906,A Los Bifes,A Los Bifes,34199,4
525334380868858,Martín Lousteau,Martín Lousteau,32904,40
1642712085944827,Alejandro Vilca,Frente de Izquierda,32096,10
245511783066904,Matías Sebely,Matias Sebely,30772,6
192108560832888,Luis Petri,Mendocinos por el futuro,30207,10
947520791967929,Claudio Poggi,Claudio Poggi,30036,8
149721655226597,Oscar Cachi Martinez,Oscar Martínez,28844,2
320178711981750,Pablo Argañaraz,Pablo Argañaraz,28832,3
