Location name,Amount spent (JPY)
Aichi Prefecture,39140
Akita Prefecture,9878
Aomori Prefecture,4061
Chiba Prefecture,32739
Ehime Prefecture,3627
Fukui Prefecture,4467
Fukuoka Prefecture,50551
Fukushima Prefecture,5919
Gifu Prefecture,8391
Gunma Prefecture,12220
Hiroshima Prefecture,8798
Hokkaido,24199
Hyōgo Prefecture,30217
Ibaraki Prefecture,8952
Ishikawa Prefecture,4570
Iwate Prefecture,3917
Kagawa Prefecture,3668
Kagoshima Prefecture,4197
Kanagawa Prefecture,67070
Kumamoto Prefecture,8344
Kyoto Prefecture,13651
Kōchi Prefecture,1814
Mie Prefecture,5988
Miyagi Prefecture,15234
Miyazaki Prefecture,5424
Nagano Prefecture,7535
Nagasaki Prefecture,6583
Nara Prefecture,6103
Niigata Prefecture,5260
Okayama Prefecture,9317
Okinawa Prefecture,9131
Osaka Prefecture,48942
Saga Prefecture,4396
Saitama Prefecture,36604
Shiga Prefecture,6743
Shimane Prefecture,3237
Shizuoka Prefecture,13443
Tochigi Prefecture,33054
Tokushima Prefecture,2830
Tokyo,131782
Tottori Prefecture,1239
Toyama Prefecture,3268
Unknown,≤100
Wakayama Prefecture,6493
Yamagata Prefecture,4397
Yamaguchi Prefecture,4466
Yamanashi Prefecture,3677
Ōita Prefecture,6519
