Location name,Amount spent (DKK)
Capital Region of Denmark,31969
Central Denmark Region,15138
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6623
Region of Southern Denmark,14149
Unknown,≤100
Zealand Region,8979
