Location name,Amount spent (PKR)
Azad Kashmir,724
Balochistan,1386
Federally Administered Tribal Areas,271
Gilgit-Baltistan,748
Islamabad Capital Territory,11163
Khyber Pakhtunkhwa,6913
Punjab,25092
Sindh,11597
Unknown,≤100
