Location name,Amount spent (EUR)
Alsace,754
Aquitaine,1451
Auvergne,428
Basse-Normandie,498
Bourgogne,743
Bretagne,1221
Centre,918
Champagne-Ardenne,444
Corse,179
Franche-Comté,437
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,749
Languedoc-Roussillon,1268
Limousin,261
Lorraine,875
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1129
New Caledonia,132
Nord-Pas-de-Calais,1350
Pays de la Loire,1339
Picardie,616
Poitou-Charentes,668
Provence-Alpes-Côte d'Azur,2492
Reunion Island,213
Rhône-Alpes,2580
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8067
