Location name,Amount spent (PLN)
Greater Poland Voivodeship,4216
Kuyavian-Pomeranian Voivodeship,1951
Lesser Poland Voivodeship,3314
Lower Silesian Voivodeship,2679
Lublin Voivodeship,1426
Lubusz Voivodeship,786
Masovian Voivodeship,5811
Opole Voivodeship,628
Podkarpackie Voivodeship,1290
Podlaskie Voivodeship,704
Pomeranian Voivodeship,2185
Silesian Voivodeship,3538
Unknown,≤100
Warmian-Masurian Voivodeship,1046
West Pomeranian Voivodeship,1792
Łódź Voivodeship,2023
Świętokrzyskie Voivodeship,863
