Location name,Amount spent (ZAR)
Eastern Cape,801
Free State,661
Gauteng,4230
KwaZulu-Natal,1804
Limpopo,505
Mpumalanga,493
North West,3377
Northern Cape,224
Unknown,≤100
Western Cape,10751
