Location name,Amount spent (VND)
An Giang Province,29997
Bà Rịa–Vũng Tàu Province,35117
Bình Dương Province,95988
Bình Phước Province,11325
Bình Thuận Province,24588
Bình Định Province,10242
Bạc Liêu Province,10294
Bắc Giang Province,22317
Bắc Kạn Province,632
Bắc Ninh Province,62432
Bến Tre Province,14171
Cao Bằng Province,2418
Cà Mau Province,15666
Cần Thơ,17240
Da Nang,20275
Gia Lai Province,16537
Haiphong,32683
Ho Chi Minh City,1360791
Hà Giang Province,1901
Hà Nam Province,9184
Hà Tĩnh Province,12511
Hòa Bình Province,7405
Hưng Yên Province,38010
Hải Dương Province,15669
Hậu Giang Province,5083
Khánh Hòa Province,23863
Kiên Giang Province,20083
Kon Tum Province,3435
Lai Châu Province,1696
Long An Province,53338
Lào Cai Province,11527
Lâm Đồng Province,22814
Lạng Sơn Province,4306
Nam Định Province,7721
Nghệ An Province,69091
Ninh Bình Province,5616
Ninh Thuận Province,5406
Phú Thọ Province,13778
Phú Yên Province,12363
Quảng Bình Province,7934
Quảng Nam Province,16301
Quảng Ngãi Province,10482
Quảng Ninh Province,13172
Quảng Trị Province,5729
Sóc Trăng Province,14834
Sơn La Province,32972
Thanh Hóa Province,19932
Thái Bình Province,68636
Thái Nguyên Province,9077
Thừa Thiên–Huế Province,13776
Tiền Giang Province,25954
Trà Vinh Province,12388
Tuyên Quang Province,7855
Tây Ninh Province,33009
Vĩnh Long Province,8625
Vĩnh Phúc Province,34276
Yên Bái Province,2569
Điện Biên Province,6246
Đắk Lắk Province,24468
Đắk Nông Province,6705
Đồng Nai Province,119456
Đồng Tháp Province,36429
