Location name,Amount spent (CHF)
Aargau,571
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,308
Basel-Landschaft,103
Bern,558
Canton of Geneva,3030
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,239
Fribourg,195
Graubünden,≤100
Jura,≤100
Luzern,4733
Neuchâtel,109
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,134
Ticino,1334
Unknown,≤100
Uri,≤100
Valais,236
Vaud,599
Zug,≤100
Zürich,1005
