Location name,Amount spent (HUF)
Baranya County,151818
Borsod-Abaúj-Zemplén County,192241
Budapest,984561
Bács-Kiskun County,156616
Békés County,111783
Csongrád County,193724
Fejér County,146344
Győr-Moson-Sopron County,162324
Hajdú-Bihar County,159935
Heves County,88067
Jász-Nagykun-Szolnok County,107864
Komárom-Esztergom County,137754
Nógrád County,48061
Pest County,387801
Somogy County,92781
Szabolcs-Szatmár-Bereg County,133676
Tolna County,83789
Unknown,≤100
Vas County,99647
Veszprém County,123088
Zala County,86860
