Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,128
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,9141
Paysandú Department,≤100
Rivera Department,544
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,211
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,777
