Location name,Amount spent (PYG)
Alto Paraguay Department,26655
Alto Paraná Department,2185272
Amambay Department,252527
Asunción,2315846
Boquerón department,157621
Caaguazú Department,903126
Caazapá Department,190614
Canindeyú Department,189444
Central Department,8442159
Concepción Department (Paraguay),290140
Cordillera Department,540292
Guairá Department,283999
Itapúa Department,988658
Misiones Department,192029
Paraguarí Department,262399
Presidente Hayes Department,288970
San Pedro Department,365418
Unknown,387
Ñeembucú Department,167400
