Location name,Amount spent (COP)
Amazonas,636
Antioquia,4647880
Arauca,7200
Atlantico,268908
Bolivar,128289
Boyaca,266084
Caldas,137663
Caqueta,50956
Casanare,12185
Cauca,136625
Cesar,36809
Choco,17785
Cordoba,120615
Cundinamarca,215919
Distrito Especial,7860262
Guainia,986
Guaviare,1672
Huila,91766
La Guajira,20554
Magdalena,84174
Meta,193445
Narino,73969
Norte de Santander,331215
Putumayo,189774
Quindio,36649
Risaralda,377657
San Andres y Providencia,3106
Santander,193379
Sucre,29144
Tolima,158721
Unknown,≤100
Valle del Cauca,4030759
Vaupes,490
Vichada,810
