Location name,Amount spent (USD)
Alabama,10636
Alaska,2359
Arizona,29360
Arkansas,6499
California,91763
Colorado,15287
Connecticut,8459
Delaware,2444
Florida,58012
Georgia,31290
Guam,≤100
Hawaii,3669
Idaho,4642
Illinois,31120
Indiana,19486
Iowa,12398
Kansas,8319
Kentucky,10169
Louisiana,12620
Maine,7917
Maryland,23520
Massachusetts,18137
Michigan,34342
Minnesota,12459
Mississippi,8978
Missouri,16415
Montana,3756
Nebraska,4162
Nevada,7741
New Hampshire,3904
New Jersey,25938
New Mexico,6343
New York,50782
North Carolina,28202
North Dakota,1959
Northern Mariana Islands,≤100
Ohio,30827
Oklahoma,10152
Oregon,16908
Pennsylvania,41374
Puerto Rico,≤100
Rhode Island,3110
South Carolina,9717
South Dakota,1855
Tennessee,14369
Texas,80006
Unknown,≤100
Utah,8504
Vermont,1998
Virgin Islands (U.S.),≤100
Virginia,28760
Washington,28323
"Washington, District of Columbia",15685
West Virginia,5186
Wisconsin,18210
Wyoming,1482
