Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
113473381778348,ভালোবাসার সুবহান ভাই,These ads ran without a disclaimer,≤100,1
103750169471109,Maha Kabbik Winning Tips,These ads ran without a disclaimer,≤100,1
104484341213023,جمعيه البر الخيرية بأم الدوم,AL BIRR CHARITABLE SOCIETY IN UMM AL-DOOM,≤100,2
100249492929972,المنصة العامة,These ads ran without a disclaimer,≤100,1
100156973167484,Taher El Moataz Bellah,These ads ran without a disclaimer,≤100,1
103461179489215,FR,These ads ran without a disclaimer,≤100,1
107413148472477,hairstyle_hajer,These ads ran without a disclaimer,≤100,1
109713615109341,hairstayle_hanaa,These ads ran without a disclaimer,≤100,1
111394328697792,Thailand lottery game83,These ads ran without a disclaimer,≤100,1
108541298990133,Parvej khan 3up master,These ads ran without a disclaimer,≤100,1
106278032154366,m5_jj,These ads ran without a disclaimer,≤100,1
106155748392483,Zinnia,These ads ran without a disclaimer,≤100,1
100473238262224,Energy News - أخبار البترول والطاقة,These ads ran without a disclaimer,≤100,1
615040838898606,Angry Birds Dream Blast,These ads ran without a disclaimer,≤100,1
117818237850524,Tap - Digital Business Card KSA,These ads ran without a disclaimer,≤100,1
103808087986824,Mobile Document Scanner,These ads ran without a disclaimer,≤100,2
156850176567,المجلة,These ads ran without a disclaimer,≤100,1
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,2
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,1
109831251935707,خليل المقداد,These ads ran without a disclaimer,≤100,1
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,1
110006022098576,Global PHDC,These ads ran without a disclaimer,≤100,1
111113447867154,The Daily Dose,These ads ran without a disclaimer,≤100,1
106750994048802,Perspectiva,These ads ran without a disclaimer,≤100,1
