Location name,Amount spent (MYR)
Johor,1388
Kedah,1030
Kelantan,348
Kuala Lumpur,1458
Labuan,≤100
Malacca,337
Negeri Sembilan,387
Pahang,405
Penang,1159
Perak,846
Perlis,120
Putrajaya,≤100
Sabah,892
Sarawak,827
Selangor,2396
Terengganu,305
Unknown,≤100
