Location name,Amount spent (CAD)
Alberta,32845
British Columbia,9829
Manitoba,4397
New Brunswick,869
Newfoundland and Labrador,741
Northwest Territories,≤100
Nova Scotia,1377
Nunavut,≤100
Ontario,27522
Prince Edward Island,210
Quebec,12087
Saskatchewan,2548
Unknown,≤100
Yukon,≤100
