Location name,Amount spent (VEF)
Amazonas,285074
Anzoátegui,35081569
Apure,1180075
Aragua,7321627
Barinas,2105121
Bolívar (state),12146778
Capital District,46025996
Carabobo,8256701
Cojedes,905000
Delta Amacuro,342574
Falcón,2242775
Guárico,1760075
Lara,5612651
Miranda (state),6500000
Monagas,1805149
Mérida,6497652
Nueva Esparta,1530001
Portuguesa,2379050
Sucre,1942575
Trujillo,1745372
Táchira,5057549
Unknown,≤100
Vargas,22690014
Yaracuy,1750000
Zulia,112616839
