Location name,Amount spent (PLN)
Greater Poland Voivodeship,3382
Kuyavian-Pomeranian Voivodeship,2472
Lesser Poland Voivodeship,3659
Lower Silesian Voivodeship,3016
Lublin Voivodeship,1709
Lubusz Voivodeship,831
Masovian Voivodeship,8150
Opole Voivodeship,727
Podkarpackie Voivodeship,1530
Podlaskie Voivodeship,1235
Pomeranian Voivodeship,2594
Silesian Voivodeship,4168
Unknown,≤100
Warmian-Masurian Voivodeship,1340
West Pomeranian Voivodeship,1806
Łódź Voivodeship,2618
Świętokrzyskie Voivodeship,854
