Location name,Amount spent (PLN)
Greater Poland Voivodeship,5000
Kuyavian-Pomeranian Voivodeship,2490
Lesser Poland Voivodeship,4431
Lower Silesian Voivodeship,3669
Lublin Voivodeship,2676
Lubusz Voivodeship,1162
Masovian Voivodeship,8733
Opole Voivodeship,1004
Podkarpackie Voivodeship,1910
Podlaskie Voivodeship,1281
Pomeranian Voivodeship,3048
Silesian Voivodeship,5269
Unknown,≤100
Warmian-Masurian Voivodeship,1459
West Pomeranian Voivodeship,2275
Łódź Voivodeship,3079
Świętokrzyskie Voivodeship,1063
