Location name,Amount spent (MYR)
Johor,411
Kedah,312
Kelantan,233
Kuala Lumpur,525
Labuan,≤100
Malacca,191
Negeri Sembilan,150
Pahang,410
Penang,220
Perak,340
Perlis,≤100
Putrajaya,≤100
Sabah,435
Sarawak,517
Selangor,1022
Terengganu,239
Unknown,≤100
