Location name,Amount spent (PKR)
Azad Kashmir,536
Balochistan,1353
Federally Administered Tribal Areas,257
Gilgit-Baltistan,200
Islamabad Capital Territory,2169
Khyber Pakhtunkhwa,7051
Punjab,34435
Sindh,17335
Unknown,≤100
