Location name,Amount spent (MYR)
Johor,485
Kedah,258
Kelantan,167
Kuala Lumpur,706
Labuan,≤100
Malacca,542
Negeri Sembilan,1065
Pahang,172
Penang,202
Perak,294
Perlis,≤100
Putrajaya,≤100
Sabah,419
Sarawak,469
Selangor,1111
Terengganu,181
Unknown,≤100
