Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
104625758942119,Siga Antenado,Siga Antenado,13974,145
151189004972368,Panasonic Brasil,Panasonic Brasil,12365,3
110512681559043,Morgan,These ads ran without a disclaimer,8219,11
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,7354,5
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,7170,46
465235726843103,Ambev,Ambev,6216,7
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,5286,219
301774903545521,Brasil Paralelo,Brasil Paralelo,5100,56
136984123032921,Mercedes-Benz Brasil,Mercedes-Benz Brasil,5092,4
286861344662855,Stella Artois,Ambev,4913,10
255804437808407,Vale,Vale,3927,7
157912844276400,Governo da Bahia,Governo da Bahia,3640,13
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,3532,10
159103797542,Greenpeace Brasil,Greenpeace Brasil,3527,199
118558464851986,ACTbr,ACTbr,2739,2
449013258505096,Prefeitura de Palmas,Prefeitura de Palmas,2192,70
239665829565195,Cidade de São Paulo,Prefeitura da Cidade de São Paulo,1968,3
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",1808,10
257250264610736,Be8,Be8,1498,1
109770755848061,Suzano,Suzano SA,1479,7
333720355130,Petrobras,Petrobras,1404,8
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1299,194
486914985073732,Eduardo Girão,Eduardo Girão,1284,4
441467489336861,Prefeitura de Sinop,Prefeitura Municipal de Sinop,1249,15
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,1234,52
224021551012451,Gerando Falcões,Gerando Falcões,1164,51
109226467222782,Brasil Sem Medo,Brasil Sem Medo,1161,141
330379553673497,Oxfam Brasil,Oxfam Brasil,1105,165
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,1016,30
105527742878890,Prefeitura do Recife,Prefeitura do Recife,1011,22
258088921369,TOTVS,TOTVS,944,22
7970426802,WWF-Brasil,WWF-Brasil,934,45
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,932,9
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,930,4
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,863,7
334514343302606,Governo do Estado do Rio Grande do Norte,PUZZLE ADS,815,1
102856342511936,ICL Notícias,Instituto Conhecimento Liberta,795,63
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,708,7
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,672,2
541089776080092,Sanofi Brasil,Thaina Souza De Campos,662,7
101189854802059,Revista Oeste,Revista Oeste,642,10
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",616,13
487358637978920,Governo do Tocantins,Governo do Tocantins,615,10
165175370206522,Citi Brasil,Citi Brasil,599,2
2209636419286152,Elismar Prado,Elismar Fernandes Prado,596,21
604486089747468,Prefeitura de Monte Carmelo,Prefeitura de Monte Carmelo,580,4
172271576134185,Habitat para a Humanidade Brasil,Habitat para a Humanidade Brasil,579,14
113165042099382,Brasil 61,Brasil 61,576,2
134450246716954,Governo do Estado de Santa Catarina,SECRETARIA DE ESTADO DA SAÚDE DE SANTA CATARINA,545,2
169743843175117,Bruno Ganem SP,Bruno Ganem,537,13
363464780341639,Prefeitura de Blumenau,Prefeitura de Blumenau,518,6
224777780881144,Visão Mundial,Visão Mundial,498,20
251235795032635,Itamar Borges,Itamar Borges,497,12
540247616482635,Nohs Somos,Nohs Somos,494,3
123884341029248,João Jorge,JOÃO JORGE DE SOUZA,481,4
263563620333111,Eduardo Braga,Carlos Braga,471,5
106525678463910,União Brasil 44,UNIÃO BRASIL,457,4
104738421003389,InvestNews BR,Nubank,450,11
102046893217762,Escola de Negócios e Seguros,Escola de Negócios e Seguros,444,4
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,435,8
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,392,21
1706482512937484,Bruno Engler,Deputado Estadual Bruno Engler,387,2
196452727048562,Governo do Rio Grande do Sul,SECRETARIA DE COMUNICAÇÃO,386,7
114603584930023,Bruno Ganem - SP,Bruno Ganem,377,3
139007399495933,Fundação SOS Mata Atlântica,FUNDACAO S.O.S. PRO-MATA ATLANTICA,373,4
479089705503936,Dep. Ricardo França,Ricardo Longatti França,370,5
314916388685112,Deputado Val Ceasa,Deputado Val Ceasa,367,3
2016641191899819,Bruno Ganem - Indaiatuba,Bruno Ganem,357,4
800191420076446,Paulo Mansur,Paulo Mansur,355,4
215530881862713,Elika Takimoto,Elika Takimoto,355,1
143803862450980,Célio Studart,Célio Studart Barbosa,347,9
400260173321011,Cagece Oficial,Cagece Oficial,345,2
140386962704024,Governo de Pernambuco,Governo de Pernambuco,344,7
194918207213417,IMP Concursos,IMP Concursos,337,10
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,332,6
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,322,9
393466617381710,Vetor Brasil,Vetor Brasil,321,19
186758178112935,Assembleia Legislativa do Espírito Santo,PUZZLE ADS,311,1
186029714861523,Dr. Valdomiro Lopes,Valdomiro Lopes,304,2
343655492351770,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,Associação Brasileira de Apoiadores Beneméritos do Teatro Guaíra,300,2
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,300,12
142073912632259,Carlos Giannazi,Deputado Carlos Giannazi,295,9
677355412700059,Eduardo Freccia,Eduardo Freccia,295,9
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,293,5
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,291,17
267918733707038,Eduardo Ricatto,Carlos Eduardo Ricatto,286,10
483630874998954,Mauro Mendes,Mauro Mendes Ferreira,284,19
100667625217103,Finclass,These ads ran without a disclaimer,280,4
110627197066277,Leandra Prefeita,Leandra Guedes Ferreira,279,1
1389429587984302,Renato Antunes,Renato Antunes,278,6
150897651635768,Governo do Estado do Ceará,Governo do Estado do Ceará,269,2
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,258,12
114765868181683,Ronaldinho Cruvinel,Ronaldo Sousa Cruvinel,253,1
152338908863109,William Dornela,William Dornela,251,70
321727954527324,Prefeitura de Santana de Parnaíba,Municipio de Santana de Parnaíba,249,20
580813708692882,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,247,4
107225498907020,Sou Concurseiro,These ads ran without a disclaimer,246,10
134450246716954,Governo do Estado de Santa Catarina,Governo do Estado de Santa Catarina,246,16
851094731588215,Liana Cirne,Vereadora Liana Cirne,243,26
105726912062788,Secretaria de Desenvolvimento Social - Prefeitura de Blumenau,Secretaria de Desenvolvimento Social,242,3
424808937641023,Veneziano Vital,Veneziano Vital,238,5
142099522556207,Weverton,Weverton Rocha,238,1
235356953965179,Senador Jaime Bagattoli,Senador Jaime Bagattoli,236,4
104088705327627,Destaques Digitais,Talquimy Comunicação LTDA,235,6
538984582880293,Wilker Barreto,Wilker Barreto,233,18
107751251520969,Clarice Ganem SP,Clarice Ganem,229,4
348704312899125,foconofato,FOCO NO FATO,226,21
105233008756513,Pró-família Blumenau - Secretaria da Família,Pró-família Blumenau - Secretaria da Família,224,4
912150095483427,Prefeitura Municipal de Jaguariaíva,MUNICIPIO DE JAGUARIAIVA,223,7
651900074836103,Dr. Laércio Sandes,Laercio Sandes De Oliveira,221,5
118860441178600,Marcela Ferraz,These ads ran without a disclaimer,218,12
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,218,5
2323904661180742,All Out Brasil,All Out,217,12
100359566010068,Prefeitura de Tucuruí,Prefeitura de Tucuruí,216,12
129296464237962,Prefeitura de Ourinhos,Prefeitura de Ourinhos,215,10
485434228470137,Tenente Coimbra,Deputado Estadual Tenente Coimbra,213,4
1263053750454913,Prefeitura de Caçapava,PREFEITURA DE CAÇAPAVA,212,2
106706101241632,Raiff Matos,Raiff Matos,207,2
797743047078113,Dani Balbi,Danieli Balbi,206,6
201878973201295,Republicanos10,Republicanos10,204,8
552483638152177,Giovani Cherini,Deputado Cherini,201,12
1671656236440009,Mauro Tramonte,Mauro Henrique Tramonte,201,1
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,201,40
106177618923389,Uniodontoms,Uniodonto Mato Grosso do Sul,199,2
168785339932466,Câmara Municipal de João Pessoa,Câmara Municipal de João Pessoa,198,17
100380548458405,Prefeitura de Jaboticabal,Prefeitura de Jaboticabal,197,9
347460535353050,PNB Online,PNB Online,196,13
126491270729748,Childhood Brasil,Childhood Brasil,195,1
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,191,18
367468876929300,Instituto Avon,AVON COSMETICOS LTDA,189,5
1977144492578298,Bruno Secco,Bruno Secco Souza,186,5
391175961040598,ADE SAMPA,ADE SAMPA,185,7
378584562192977,Filippi,José de Filippi Junior,183,7
1594912660746072,Renato Oliveira,Francisco Renato De Oliveira Vieira,181,1
194032184000941,Chico Rodrigues,Chico Rodrigues,179,5
250305668489402,Professor Kenny,These ads ran without a disclaimer,179,4
812448422259685,Os pedagógicos,These ads ran without a disclaimer,179,21
217423271714827,Elvino Bohn Gass,Elvino Jose Bohn Gass,179,23
260528207360293,SEPE RJ - Oficial,Sindicato Estadual dos Profissionais da Educação do Rio de Janeiro,176,4
587065281989375,Topazio Neto,Topazio Silveira Neto,173,5
108939138320327,drachrisdovalle,These ads ran without a disclaimer,173,1
