Location name,Amount spent (CHF)
Aargau,1274
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,1243
Basel-Landschaft,504
Bern,2352
Canton of Geneva,3003
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,1042
Fribourg,631
Graubünden,488
Jura,133
Luzern,978
Neuchâtel,379
Schaffhausen,185
Schwyz,229
Solothurn,526
Thurgau,623
Ticino,424
Unknown,≤100
Uri,≤100
Valais,721
Vaud,1897
Zug,277
Zürich,5716
