Location name,Amount spent (ZAR)
Eastern Cape,713
Free State,595
Gauteng,4039
KwaZulu-Natal,1707
Limpopo,411
Mpumalanga,442
North West,2979
Northern Cape,214
Unknown,≤100
Western Cape,10145
