Location name,Amount spent (IDR)
Aceh,1911931
Bali,10128960
Bangka–Belitung Islands,397681
Banten,6847075
Bengkulu,665344
Central Java,20024667
Central Kalimantan,805471
Central Sulawesi,2405661
East Java,25877111
East Kalimantan,2713689
East Nusa Tenggara,4140381
Gorontalo,1638090
Jakarta,43584964
Jambi,2483011
Lampung,4299082
Maluku,1345595
North Kalimantan,411871
North Maluku,594807
North Sulawesi,4383874
North Sumatra,7429875
Papua (province),846473
Riau,1954542
Riau Islands Province,897687
South Kalimantan,1837515
South Sulawesi,7915339
South Sumatra,4122070
Southeast Sulawesi,2202134
Special Region of Yogyakarta,2177299
Unknown,11308
West Java,25116618
West Kalimantan,2722227
West Nusa Tenggara,3414077
West Papua,407604
West Sulawesi,504237
West Sumatra,2185426
