Location name,Amount spent (PYG)
Alto Paraguay Department,317944
Alto Paraná Department,32760646
Amambay Department,6063960
Asunción,34285383
Boquerón department,1293648
Caaguazú Department,10821192
Caazapá Department,2373375
Canindeyú Department,3051431
Central Department,76434332
Concepción Department (Paraguay),3352952
Cordillera Department,5958384
Guairá Department,3685080
Itapúa Department,15436797
Misiones Department,3718725
Paraguarí Department,2867030
Presidente Hayes Department,2279717
San Pedro Department,4029537
Unknown,46478
Ñeembucú Department,2476804
