Location name,Amount spent (THB)
Amnat Charoen,115
Ang Thong,≤100
Ayutthaya,801
Bangkok,26237
Bueng Kan,124
Buriram,404
Chachoengsao,1507
Chai Nat,159
Chaiyaphum,261
Chanthaburi,660
Chiang Mai,1572
Chiang Rai,506
Chon Buri,9585
Chumphon,1129
Kalasin,265
Kamphaeng Phet,252
Kanchanaburi,353
Khon Kaen,709
Krabi,351
Lampang,306
Lamphun,170
Loei,202
Lop Buri,216
Mae Hong Son,175
Maha Sarakham,300
Mukdahan,128
Nakhon Nayok,≤100
Nakhon Pathom,809
Nakhon Phanom,179
Nakhon Ratchasima,1069
Nakhon Sawan,1987
Nakhon Si Thammarat,2216
Nan,128
Narathiwat,250
Nong Bua Lam Phu,170
Nong Khai,190
Nonthaburi,1231
Pathum Thani,762
Pattani,301
Phangnga,269
Phatthalung,577
Phayao,458
Phetchabun,217
Phetchaburi,211
Phichit,279
Phitsanulok,1985
Phrae,138
Phuket,4888
Prachin Buri,265
Prachuap Khiri Khan,386
Ranong,168
Ratchaburi,474
Rayong,1053
Roi Et,366
Sa Kaeo,265
Sakon Nakhon,304
Samut Prakan,1325
Samut Sakhon,1013
Samut Songkhram,391
Saraburi,284
Satun,274
Sing Buri,≤100
Sisaket,539
Songkhla,3186
Sukhothai,268
Suphan Buri,346
Surat Thani,11344
Surin,394
Tak,266
Trang,1310
Trat,552
Ubon Ratchathani,628
Udon Thani,593
Unknown,≤100
Uthai Thani,182
Uttaradit,132
Yala Province,208
Yasothon,224
