Location name,Amount spent (EUR)
Alsace,854
Aquitaine,1465
Auvergne,426
Basse-Normandie,528
Bourgogne,583
Bretagne,1254
Centre,890
Champagne-Ardenne,475
Corse,161
Franche-Comté,383
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,744
Languedoc-Roussillon,1324
Limousin,256
Lorraine,1010
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1176
New Caledonia,≤100
Nord-Pas-de-Calais,1710
Pays de la Loire,1610
Picardie,688
Poitou-Charentes,655
Provence-Alpes-Côte d'Azur,2447
Reunion Island,≤100
Rhône-Alpes,2452
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4639
