Location name,Amount spent (CZK)
Central Bohemian Region,6121
Hradec Králové Region,2408
Karlovy Vary Region,1533
Liberec Region,2150
Moravian-Silesian Region,6146
Olomouc Region,3165
Pardubice Region,2287
Plzeň Region,3380
Prague,15307
South Bohemian Region,4098
South Moravian Region,6389
Unknown,≤100
Vysočina Region,2213
Zlín Region,2517
Ústí nad Labem Region,3995
