Location name,Amount spent (CAD)
Alberta,19042
British Columbia,14674
Manitoba,2409
New Brunswick,1739
Newfoundland and Labrador,979
Northwest Territories,≤100
Nova Scotia,2180
Nunavut,≤100
Ontario,33620
Prince Edward Island,315
Quebec,15826
Saskatchewan,2670
Unknown,≤100
Yukon,147
