Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
110533229026103,EVP / PEV,EVP Schweiz,1563,33
15733998334,FDP,FDP,215,7
194790813901953,Grüne Schweiz,Grüne Schweiz,190,6
109554945523780,Initiative biodiversité,Initiative biodiversité,177,21
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,172,6
113292715120155,Matthias Müller,Matthias Müller,163,41
18087904183,PLR,PLR,143,10
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,106,1
180501591989950,Jungfreisinnige Kanton Zürich,Jungfreisinnige Kanton Zürich,≤100,7
478040605021,Junge Grüne Schweiz,Junge Grüne Schweiz,≤100,1
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,≤100,66
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,32
110981058712788,Iniziativa biodiversità,Iniziativa biodiversità,≤100,21
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,≤100,9
144907625542050,Die Mitte Schwyz,Die Mitte Schwyz,≤100,2
162931923790797,PLR Canton de Fribourg,PLR.Les Libéraux-Radicaux Fribourg,≤100,6
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100,24
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,20
169510248558,Die Mitte - Le Centre,Die Mitte,≤100,6
145845125487053,"Jürg Grossen, Präsident Grünliberale","Jürg Grossen, Präsident Grünliberale",≤100,7
102014399307738,Direkt,direkt,≤100,10
451151132108215,Tiana Moser,Grünliberale Kanton Zürich,≤100,6
105302842574771,FDP.Die Liberalen Kanton Zug,FDP.Die Liberalen Zug,≤100,10
255506388731408,Biodiversitätsinitiative,Biodiversitätsinitiative,≤100,12
103074632758864,Natacha Albrecht au Conseil National,Natacha Albrecht au Conseil National,≤100,2
607076092768471,Bastien Girod,Bastien Girod,≤100,2
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,≤100,4
100649012962611,Direct,Direct,≤100,8
824045367664868,Laurent Wehrli,Laurent Wehrli,≤100,9
191859734164694,Pro Infirmis,Pro Infirmis,≤100,1
1483343695307824,Campax,Campax,≤100,2
101253266185327,Krisnachbern,Kris Vietze,≤100,16
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100,4
111572431777901,Simon Michel in den Nationalrat,Simon Michel in den Nationalrat,≤100,1
126955504056188,Gregor Bruhin in den Nationalrat,Gregor Bruhin,≤100,3
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,≤100,3
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,≤100,1
198503926874552,Marionna Schlatter-Schmid,Marionna Schlatter-Schmid,≤100,1
921336971288655,Nagra,Nagra,≤100,1
1091412070891154,Florian Kobler in den Stadtrat,Florian Kobler in den Stadtrat,≤100,1
109177161782403,Animal équité,Association Animal équité,≤100,2
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,≤100,4
330071323785229,FDP. Die Liberalen Frauen Basel-Stadt,FDP. Die Liberalen Frauen Basel-Stadt,≤100,1
132857293477850,Jungfreisinnige Kanton Solothurn,Jungfreisinnige Kanton Solothurn,≤100,1
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,5
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,≤100,1
195057467172295,FDP.Die Liberalen Kanton Solothurn,FDP Kanton Solothurn,≤100,3
124881880957569,SP Stadt St.Gallen,SP Stadt St.Gallen,≤100,2
820391221400929,Unser Stadtrat Florin Scherrer,Unser Stadtrat Florin Scherrer,≤100,5
109605484115257,Delphine Klopfenstein Broggini,Delphine Klopfenstein Broggini,≤100,1
124266620968132,FDP.Die Liberalen Kanton Thurgau,FDP Thurgau,≤100,2
100122342080658,SVP Oberwallis,SVP Oberwallis,≤100,7
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,7
291359247729208,PS Suisse,PS Suisse,≤100,1
108235130035,SP Thurgau,SP Thurgau,≤100,1
108103318693563,"Heidi Weiss, Bauma, EVP","Heidi Weiss, Bauma, EVP",≤100,1
1612166269046129,Ueli Fisch politisch,Ueli Fisch politisch,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,1
462422884156866,Matthias Betsche,Matthias Betsche,≤100,2
154767748463500,Raphael Lanz,Raphael Lanz,≤100,1
1410462099233550,FDP.Die Liberalen Kriens,FDP Kriens,≤100,2
115010674866173,prospettivasvizzera.ch,IG Wirtschaftsverbände,≤100,4
164442820236221,Jeunes Vert·exs Vaud,Jeunes Vert·exs Vaud,≤100,1
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100,1
103865108846573,FDP.Die Liberalen Herzogenbuchsee,FDP Herzogenbuchsee,≤100,1
169653126400996,Jura & Trois-Lacs,These ads ran without a disclaimer,≤100,1
238711029872717,Die Mitte Sarganserland - Für ein starkes Sarganserland,Die Mitte Sarganserland - Für ein starkes Sarganserland,≤100,1
