Location name,Amount spent (XCD)
Saint George Basseterre,≤100
Saint John Figtree,≤100
Saint Mary Cayon,≤100
Saint Peter Basseterre,≤100
Saint Thomas Lowland,≤100
Saint Thomas Middle Island,≤100
Trinity Palmetto Point,≤100
