Location name,Amount spent (RON)
Alba County,605
Arad County,662
Argeș County,981
Bacău County,999
Bihor County,918
Bistrița-Năsăud County,432
Botoșani County,531
Brașov County,1316
Brăila County,506
Bucharest,5784
Buzău County,802
Caraș-Severin County,418
Cluj County,2206
Constanța County,1546
Covasna County,295
Călărași County,331
Dolj County,980
Dâmbovița County,707
Galați County,970
Giurgiu County,285
Gorj County,568
Harghita County,537
Hunedoara County,745
Ialomița County,419
Iași County,2137
Ilfov County,910
Maramureș County,816
Mehedinți County,340
Mureș County,996
Neamț County,1281
Olt County,479
Prahova County,1591
Satu Mare County,455
Sibiu County,842
Suceava County,930
Sălaj County,347
Teleorman County,352
Timiș County,1515
Tulcea County,310
Unknown,≤100
Vaslui County,488
Vrancea County,558
Vâlcea County,681
