Location name,Amount spent (PLN)
Greater Poland Voivodeship,3344
Kuyavian-Pomeranian Voivodeship,1755
Lesser Poland Voivodeship,4307
Lower Silesian Voivodeship,2851
Lublin Voivodeship,1280
Lubusz Voivodeship,1606
Masovian Voivodeship,5729
Opole Voivodeship,581
Podkarpackie Voivodeship,1207
Podlaskie Voivodeship,611
Pomeranian Voivodeship,2153
Silesian Voivodeship,4203
Unknown,≤100
Warmian-Masurian Voivodeship,1419
West Pomeranian Voivodeship,1644
Łódź Voivodeship,2081
Świętokrzyskie Voivodeship,1066
