Location name,Amount spent (PLN)
Greater Poland Voivodeship,2908
Kuyavian-Pomeranian Voivodeship,1641
Lesser Poland Voivodeship,3401
Lower Silesian Voivodeship,2467
Lublin Voivodeship,1303
Lubusz Voivodeship,689
Masovian Voivodeship,5847
Opole Voivodeship,650
Podkarpackie Voivodeship,1324
Podlaskie Voivodeship,802
Pomeranian Voivodeship,2184
Silesian Voivodeship,3729
Unknown,≤100
Warmian-Masurian Voivodeship,946
West Pomeranian Voivodeship,1490
Łódź Voivodeship,1968
Świętokrzyskie Voivodeship,750
