Location name,Amount spent (VND)
An Giang Province,104094
Bà Rịa–Vũng Tàu Province,123756
Bình Dương Province,310376
Bình Phước Province,131518
Bình Thuận Province,144008
Bình Định Province,103613
Bạc Liêu Province,47213
Bắc Giang Province,365788
Bắc Kạn Province,79300
Bắc Ninh Province,301016
Bến Tre Province,77690
Cao Bằng Province,89610
Cà Mau Province,66593
Cần Thơ,91006
Da Nang,233150
Gia Lai Province,131026
Haiphong,243973
Ho Chi Minh City,1545070
Hà Giang Province,127140
Hà Nam Province,112761
Hà Tĩnh Province,184523
Hòa Bình Province,113802
Hưng Yên Province,161736
Hải Dương Province,379471
Hậu Giang Province,51799
Khánh Hòa Province,129881
Kiên Giang Province,127653
Kon Tum Province,64991
Lai Châu Province,48566
Long An Province,104978
Lào Cai Province,124472
Lâm Đồng Province,263280
Lạng Sơn Province,150987
Nam Định Province,196331
Nghệ An Province,437488
Ninh Bình Province,91850
Ninh Thuận Province,34381
Phú Thọ Province,599948
Phú Yên Province,68525
Quảng Bình Province,133773
Quảng Nam Province,240276
Quảng Ngãi Province,154824
Quảng Ninh Province,169879
Quảng Trị Province,78222
Sóc Trăng Province,51668
Sơn La Province,137844
Thanh Hóa Province,442619
Thái Bình Province,169051
Thái Nguyên Province,268905
Thừa Thiên–Huế Province,133870
Tiền Giang Province,87395
Trà Vinh Province,67825
Tuyên Quang Province,178878
Tây Ninh Province,97303
Unknown,209
Vĩnh Long Province,35434
Vĩnh Phúc Province,241047
Yên Bái Province,137722
Điện Biên Province,84180
Đắk Lắk Province,519775
Đắk Nông Province,85262
Đồng Nai Province,322899
Đồng Tháp Province,115528
