Location name,Amount spent (DKK)
Capital Region of Denmark,46417
Central Denmark Region,26052
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12002
Region of Southern Denmark,25946
Unknown,≤100
Zealand Region,15905
