Location name,Amount spent (SEK)
Blekinge County,5320
Dalarna County,10740
Gotland County,2262
Gävleborg County,10890
Halland County,10387
Jämtland County,5669
Jönköping County,13526
Kalmar County,8233
Kronoberg County,6551
Norrbotten County,9776
Skåne County,53212
Stockholm County,99462
Södermanland County,11360
Unknown,≤100
Uppsala County,21685
Värmland County,9448
Västerbotten County,10252
Västernorrland County,9277
Västmanland County,9275
Västra Götaland County,62342
Örebro County,10314
Östergötland County,15421
