Location name,Amount spent (VND)
An Giang Province,34983
Bà Rịa–Vũng Tàu Province,23751
Bình Dương Province,33684
Bình Phước Province,17522
Bình Thuận Province,21696
Bình Định Province,21293
Bạc Liêu Province,8084
Bắc Giang Province,106837
Bắc Kạn Province,4070
Bắc Ninh Province,20711
Bến Tre Province,10414
Cao Bằng Province,134765
Cà Mau Province,9776
Cần Thơ,34829
Da Nang,29046
Gia Lai Province,18238
Haiphong,30414
Ho Chi Minh City,149280
Hà Giang Province,4332
Hà Nam Province,9604
Hà Tĩnh Province,19966
Hòa Bình Province,7309
Hưng Yên Province,13395
Hải Dương Province,27263
Hậu Giang Province,3379
Khánh Hòa Province,25322
Kiên Giang Province,16667
Kon Tum Province,6906
Lai Châu Province,2130
Long An Province,13659
Lào Cai Province,6394
Lâm Đồng Province,23309
Lạng Sơn Province,9210
Nam Định Province,25156
Nghệ An Province,73613
Ninh Bình Province,12296
Ninh Thuận Province,7796
Phú Thọ Province,19976
Phú Yên Province,12189
Quảng Bình Province,11715
Quảng Nam Province,24478
Quảng Ngãi Province,15454
Quảng Ninh Province,19731
Quảng Trị Province,14640
Sóc Trăng Province,9038
Sơn La Province,10091
Thanh Hóa Province,39016
Thái Bình Province,24543
Thái Nguyên Province,16534
Thừa Thiên–Huế Province,29351
Tiền Giang Province,17397
Trà Vinh Province,8618
Tuyên Quang Province,9704
Tây Ninh Province,16420
Vĩnh Long Province,9074
Vĩnh Phúc Province,15343
Yên Bái Province,8987
Điện Biên Province,5440
Đắk Lắk Province,70730
Đắk Nông Province,9830
Đồng Nai Province,55368
Đồng Tháp Province,18268
