Location name,Amount spent (EUR)
Alsace,632
Aquitaine,1057
Auvergne,334
Basse-Normandie,415
Bourgogne,426
Bretagne,923
Centre,735
Champagne-Ardenne,338
Corse,114
Franche-Comté,286
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,692
Languedoc-Roussillon,944
Limousin,175
Lorraine,763
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,850
New Caledonia,≤100
Nord-Pas-de-Calais,1114
Pays de la Loire,1025
Picardie,760
Poitou-Charentes,448
Provence-Alpes-Côte d'Azur,1835
Reunion Island,≤100
Rhône-Alpes,2011
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3503
