Location name,Amount spent (ARS)
Buenos Aires,2644310
Catamarca,113370
Chaco,225311
Chubut,114717
Ciudad Autónoma de Buenos Aires,699485
Corrientes,185864
Córdoba,2755974
Entre Rios,242896
Formosa,117842
Jujuy,51041
La Pampa,42636
La Rioja,53100
Mendoza,496771
Misiones,64962
Neuquén,72233
Río Negro,78228
Salta,106118
San Juan,251348
San Luis,407608
Santa Cruz,56520
Santa Fe,996727
Santiago del Estero,52348
Tierra del Fuego,39028
Tucuman,208547
Unknown,309
