Location name,Amount spent (PYG)
Alto Paraguay Department,4821
Alto Paraná Department,145149
Amambay Department,2622
Asunción,198983
Boquerón department,6291
Caaguazú Department,92999
Caazapá Department,1575
Canindeyú Department,13647
Central Department,716897
Concepción Department (Paraguay),12972
Cordillera Department,14490
Guairá Department,5956
Itapúa Department,9457
Misiones Department,3734
Paraguarí Department,11085
Presidente Hayes Department,13119
San Pedro Department,10053
Unknown,≤100
Ñeembucú Department,39513
