Location name,Amount spent (ARS)
Buenos Aires,389020
Catamarca,25675
Chaco,39316
Chubut,52296
Ciudad Autónoma de Buenos Aires,109403
Corrientes,12410
Córdoba,1715768
Entre Rios,30785
Formosa,12172
Jujuy,6965
La Pampa,50222
La Rioja,14956
Mendoza,25252
Misiones,11965
Neuquén,107634
Río Negro,8693
Salta,62214
San Juan,41751
San Luis,40440
Santa Cruz,3187
Santa Fe,207133
Santiago del Estero,4459
Tierra del Fuego,36921
Tucuman,22822
Unknown,≤100
