Location name,Amount spent (IDR)
Aceh,292342
Bali,1146164
Bangka–Belitung Islands,227101
Banten,1184648
Bengkulu,389091
Central Java,6421909
Central Kalimantan,327671
Central Sulawesi,379212
East Java,4218641
East Kalimantan,1061735
East Nusa Tenggara,862155
Gorontalo,320052
Jakarta,5596245
Jambi,484017
Lampung,719839
Maluku,399914
North Kalimantan,168214
North Maluku,357148
North Sulawesi,1494703
North Sumatra,1356568
Papua (province),396307
Riau,910958
Riau Islands Province,482581
South Kalimantan,472631
South Sulawesi,3610653
South Sumatra,865513
Southeast Sulawesi,321970
Special Region of Yogyakarta,664598
Unknown,7327
West Java,4877568
West Kalimantan,1086949
West Nusa Tenggara,681238
West Papua,166483
West Sulawesi,128784
West Sumatra,596226
