Location name,Amount spent (DKK)
Capital Region of Denmark,40445
Central Denmark Region,19184
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8689
Region of Southern Denmark,16065
Unknown,≤100
Zealand Region,18863
