Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
643513979193133,Unidos por Beatriz,Neuma,18474,2
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,11083,3
265843867173714,La Revista,La Revista,4358,6
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,3325,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,2771,2
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1108,1
319549428716940,Maria Luisa Lima,These ads ran without a disclaimer,109,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
952603051424285,Puertas Abiertas América Latina,These ads ran without a disclaimer,≤100,1
115640734762201,Cultivador,These ads ran without a disclaimer,≤100,1
761779903846505,Natureza Medicinal,These ads ran without a disclaimer,≤100,1
