Location name,Amount spent (MYR)
Johor,284
Kedah,316
Kelantan,175
Kuala Lumpur,453
Labuan,≤100
Malacca,≤100
Negeri Sembilan,119
Pahang,1521
Penang,187
Perak,256
Perlis,≤100
Putrajaya,≤100
Sabah,180
Sarawak,167
Selangor,805
Terengganu,206
